county,year,litter,recycled,dumps,county_rd_miles,state_rd_miles
Putnam,2021-2022,118140,107800,4,64.33333333,30.41666667
Putnam,2022-2023,113500,113500,2,111.1666667,17.75
Putnam,2023-2024,162392,147143,1,49.83333333,16.91666667
Rhea,2019-2020,33230,320,9,96.7725,0
Rhea,2020-2021,33500,330,0,131.8566667,0
Rhea,2021-2022,38700,280,8,132.2208333,0
Rhea,2022-2023,26125,270,0,137.3291667,0
Rhea,2023-2024,13400,261,30,94.0225,0
Roane,2019-2020,46410,0,50,25.24333333,2.104166667
Roane,2020-2021,30157.5,29,19,15.525,0.958333333
Roane,2021-2022,26923,0,5,29.77416667,0.583333333
Roane,2022-2023,21253.75,4107,46,20.53333333,0.008333333
Roane,2023-2024,14940.75,1039.5,25,19.43416667,0.208333333
Robertson,2019-2020,88386,1230,39,31.375,0
Robertson,2020-2021,2760,0,3,1.125,0
Robertson,2021-2022,73540,3340,35,41.04166667,0
Robertson,2022-2023,43700,7953,43,5.254166667,0
Robertson,2023-2024,184860,3944,60,10.1,0.770833333
Rutherford,2019-2020,75840,0,0,94.11666667,0
Rutherford,2020-2021,108110,0,0,69.05833333,0
Rutherford,2021-2022,109840,0,0,60.21666667,0
Rutherford,2022-2023,161670,0,0,92.56666667,0
Rutherford,2023-2024,116100,0,0,79.925,0
Scott,2019-2020,38625,0,2,31.75,2.858333333
Scott,2020-2021,51700,0,13,46.57916667,0.520833333
Scott,2021-2022,58035,0,7,15.92083333,0.883333333
Scott,2022-2023,50875,0,2,16.34583333,1.583333333
Scott,2023-2024,371211,0,1,13.21666667,0.341666667
Sequatchie,2019-2020,30440,30440,5,32.04166667,0.083333333
Sequatchie,2020-2021,52560,52560,5,26.77083333,0
Sequatchie,2021-2022,57887.5,49992.25,11,30.38583333,0
Sequatchie,2022-2023,49350,49350,14,33.66666667,0
Sequatchie,2023-2024,28048,28048,9,26.31916667,0
Sevier,2019-2020,235330,0,0,76.45,45.55
Sevier,2020-2021,305190,0,0,114.7666667,76.80833333
Sevier,2021-2022,341590,0,0,131.775,68.98333333
Sevier,2022-2023,394050,150,565,132.25,3274.175
Sevier,2023-2024,0,0,0,0,0
Shelby,2019-2020,374828,0,495,150.5454545,4.090909091
Shelby,2020-2021,394380,0,1052,163.5454545,1.818181818
Shelby,2021-2022,416340,0,987,197.5833333,1.25
Shelby,2022-2023,385560,0,709,205,0.818181818
Shelby,2023-2024,398500,0,360,184.2272727,0.909090909
Smith,2019-2020,36203.1,0,0,55.06666667,0
Smith,2020-2021,24730,0,0,37.68333333,0
Smith,2021-2022,52470,0,0,59.21666667,0
Smith,2022-2023,51111.68,0,0,54.8,0
Smith,2023-2024,54600,0,0,70.1,0
Statewide,2019-2020,21296709.41,7585240.92,4053,28981.03583,8572.121303
Statewide,2020-2021,20547662.2,7949094.8,4326,23263.8625,3546.116667
Statewide,2022-2023,19058198.73,5656816.8,0,26448.86242,10439.9225
Statewide,2023-2024,15294053.16,1428463,2865,27760.26583,8877.6975
Stewart,2019-2020,44490,35450,2,10.7,12.18380317
Stewart,2020-2021,53771,53771,1,1.416666667,1.416666667
Stewart,2021-2022,62723,62723,0,2.045833333,0.95
Stewart,2022-2023,268,268,0,0.033333333,0
Stewart,2023-2024,1600,1160,1,5.25,0
Sullivan,2019-2020,5719952.57,5111156.57,1,100.8333333,40.16666667
Sullivan,2020-2021,6844828,5823835,0,107.1666667,19.91666667
Sullivan,2021-2022,1212012,2374093,0,91.58333333,11.66666667
Sullivan,2022-2023,3380442,3453224,0,61,0.083333333
Sullivan,2023-2024,20442,1624,0,54.16666667,0.25
Sumner,2019-2020,56620,82,63,60.5375,0
Sumner,2020-2021,32329,34,33,46.78916667,0.166666667
Sumner,2021-2022,45040,31,35,58.23583333,0
Sumner,2022-2023,195532,54,173,97.22333333,0
Sumner,2023-2024,50020,28,46,69.75583333,0
Tipton,2019-2020,83655,5345,174,7.658333333,0
Tipton,2020-2021,58255,1070,52,6.783333333,0.408333333
Tipton,2021-2022,46515,1349.53,73,7.669166667,0
Tipton,2022-2023,53385,0,63,7.958333333,0
Tipton,2023-2024,132185,0,76,13.55,0
Trousdale,2019-2020,83691.5,74409.5,0,311.1666667,0
Trousdale,2020-2021,5768.3,4240.8,0,275.25,0
Trousdale,2021-2022,10423,9661,0,365.9166667,0
Trousdale,2022-2023,19296,6465,0,386.8333333,0
Trousdale,2023-2024,14060,9019,0,377,0
Unicoi,2019-2020,49699,0,5,102.8333333,33.16666667
Unicoi,2020-2021,19793,0,4,69,22.33333333
Unicoi,2021-2022,33099,0,20,222.0833333,36.83333333
Unicoi,2022-2023,9840,0,3,76.41666667,11.16666667
Unicoi,2023-2024,1540,0,0,115.8333333,0.166666667
Union,2019-2020,114180,17,141,17.43333333,2.016666667
Union,2020-2021,92880,0,98,31.75,0.408333333
Union,2021-2022,61900,0,120,176.35,4.183333333
Union,2022-2023,57000,0,173,410.825,32.4
Union,2023-2024,59260,0,188,371.475,26.59166667
Van Buren,2019-2020,60468,42731,12,1610.666667,0
Van Buren,2020-2021,19256,12478,7,676.5833333,0
Van Buren,2021-2022,46314,23976,26,763.8333333,0
Van Buren,2022-2023,48820,1150,34,1096.833333,0
