county,year,litter,recycled,dumps,partners,volunteer_hours,county_road_miles,litter_per_mile,recycled_per_mile
Hickman,2020-2021,251060.0,217693.0,273,0,0.0,68.0,3692.0588235294117,3201.3676470588234
Hickman,2021-2022,74280.0,74280.0,5,0,0.0,68.0,1092.3529411764705,1092.3529411764705
Hickman,2022-2023,106799.0,103339.0,0,0,0.0,68.0,1570.5735294117646,1519.6911764705883
Hickman,2023-2024,53410.0,51390.0,0,0,0.0,68.0,785.4411764705883,755.7352941176471
Houston,2019-2020,36103.0,1532.0,11,0,0.0,381.0,94.75853018372703,4.020997375328084
Houston,2020-2021,2368.0,2400.0,12,0,0.0,381.0,6.215223097112861,6.299212598425197
Houston,2021-2022,1633.0,0.0,9,0,0.0,381.0,4.286089238845144,0.0
Houston,2022-2023,3241.0,0.0,0,0,0.0,381.0,8.506561679790027,0.0
Houston,2023-2024,2375.5,0.0,0,0,0.0,381.0,6.2349081364829395,0.0
Humphreys,2019-2020,27302.0,0.0,2,0,0.0,79.9,341.70212765957444,0.0
Humphreys,2020-2021,73572.0,0.0,12,0,0.0,79.9,920.8010012515643,0.0
Humphreys,2021-2022,344770.0,0.0,0,0,0.0,79.9,4315.018773466833,0.0
Humphreys,2022-2023,291468.0,0.0,0,0,0.0,79.9,3647.909887359199,0.0
Humphreys,2023-2024,156316.0,0.0,4,4,20.0,79.9,1956.3954943679598,0.0
Jackson,2019-2020,49371.16,36.0,3,0,0.0,17641.0,2.7986599399127035,0.0020407006405532566
Jackson,2020-2021,65207.0,0.0,0,0,0.0,17641.0,3.6963324074598947,0.0
Jackson,2021-2022,55029.0,21040.0,0,0,0.0,17641.0,3.1193809874723657,1.19267615214557
Jackson,2022-2023,173736.0,0.0,0,0,0.0,17641.0,9.848421291310016,0.0
Jackson,2023-2024,209552.0,0.0,1,0,0.0,17641.0,11.87869168414489,0.0
Jefferson,2019-2020,141480.0,3825.0,0,0,0.0,97.19,1455.7053194773125,39.35590081284083
Jefferson,2020-2021,90670.0,2665.0,0,0,0.0,97.19,932.9149089412491,27.420516514044657
Jefferson,2021-2022,89220.0,2398.0,0,0,0.0,97.19,917.9956785677539,24.673320300442434
Jefferson,2022-2023,82920.0,1750.0,0,0,0.0,97.19,853.174194876016,18.005967692149397
Jefferson,2023-2024,58680.0,1350.0,0,0,0.0,97.19,603.7658195287581,13.890317933943821
Johnson,2019-2020,16980.0,1.0,15,0,0.0,41.0,414.1463414634146,0.024390243902439025
Johnson,2020-2021,13740.0,0.0,8,0,0.0,41.0,335.1219512195122,0.0
Johnson,2021-2022,32510.0,125.0,41,30,120.0,41.0,792.9268292682926,3.048780487804878
Johnson,2022-2023,31030.0,0.0,21,18,70.0,41.0,756.829268292683,0.0
